user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Qu'est-ce que le concert Onestage à Paris ?,"['Événement : Concert, Onestage\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Vendredi 27 mars, 16h00', 'Événement : Concert de l\'ensemble orchestral Vivharmonie\nDescription : Un concert exceptionnel de l\'orchestre philharmonique ""Vivharmonie""\nLieu : Église Sainte-Odile, Paris\nDate : Dimanche 12 avril, 15h30', 'Événement : samedi 04 octobre 2025 de 20h30 à 22h30: concert Ondes Plurielles\nDescription : samedi 04 octobre 2025 de 20h30 à 22h30: concert Ondes Plurielles\nLieu : Église Saint-Marcel, Paris\nDate : Samedi 4 octobre 2025, 20h30', ""Événement : Concert L'Orchestre de la Bastille\nDescription : Direction Émilie Postel-Vinay\nLieu : Eglise Saint Leu Saint Gilles, Paris\nDate : Samedi 5 avril 2025, 20h30"", 'Événement : Mardi 01 avril 2025 de 20h à 22h: concert Chœur Sans Frontières\nDescription : Mardi 01 avril 2025 de 20h à 22h: concert Chœur Sans Frontières\nLieu : Église Saint-Marcel, Paris\nDate : Mardi 1 avril 2025, 20h00']","Le concert **Onestage** est un concert qui aura lieu à l'**Église de La Madeleine, Paris**, le **vendredi 27 mars à 16h00**.",Le concert Onestage est un concert prévu le vendredi 27 mars à 16h00 à l'Église de La Madeleine à Paris.,1.0,,,1.0
Parlez-moi du concert des 4 Saisons de Vivaldi à Paris.,"['Événement : Les quatre saisons de Vivaldi\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Samedi 3 janvier, 20h00', 'Événement : Les quatre saisons de Vivaldi\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Samedi 7 mars, 20h00', 'Événement : Les quatre saisons de Vivaldi\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Mardi 6 janvier, 19h30', 'Événement : Les quatre saisons de Vivaldi\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Samedi 18 avril, 20h00', 'Événement : Les quatre saisons de Vivaldi\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Samedi 21 mars, 20h00']","Voici les informations disponibles sur les concerts des *Quatre Saisons* de Vivaldi à Paris :

1. **Les quatre saisons de Vivaldi**
   - **Date** : Samedi 3 janvier, 20h00
   - **Lieu** : Église de La Madeleine, Paris

2. **Les quatre saisons de Vivaldi**
   - **Date** : Mardi 6 janvier, 19h30
   - **Lieu** : Église de La Madeleine, Paris

3. **Les quatre saisons de Vivaldi**
   - **Date** : Samedi 7 mars, 20h00
   - **Lieu** : Église de La Madeleine, Paris

4. **Les quatre saisons de Vivaldi**
   - **Date** : Samedi 21 mars, 20h00
   - **Lieu** : Église de La Madeleine, Paris

5. **Les quatre saisons de Vivaldi**
   - **Date** : Samedi 18 avril, 20h00
   - **Lieu** : Église de La Madeleine, Paris",Les 4 Saisons de Vivaldi et la Petite Musique de Nuit de Mozart sont interprétées à l'Église de La Madeleine à Paris. Plusieurs dates sont disponibles dont le mercredi 11 mars et le mardi 7 avril à 20h00.,1.0,,0.0,0.0
Qu'est-ce que le Concert Aria Baroque ?,"['Événement : Concert Aria Baroque\nDescription : Vivaldi, Haendel et Bach\nLieu : Eglise Sainte-Elisabeth de Hongrie, Paris\nDate : Samedi 14 mars, 16h00', 'Événement : Musique baroque\nDescription : par les Jeunes Ambassadeurs de Cracovie\nLieu : Église Sainte-Marie des Batignolles, Paris\nDate : Samedi 5 avril 2025, 15h30', 'Événement : Concert de Noël : la musique baroque italienne\nDescription : Le Collège des Bernardins est heureux de vous convier à son grand concert de Noël sous les arches de la nef, autour de la musique baroque italienne. Pour la première fois en France, découvrez la Mi...\nLieu : Collège des Bernardins, Paris\nDate : Mercredi 17 décembre 2025, 20h00', 'Événement : Les quatre saisons de Vivaldi\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Lundi 6 avril, 20h00', 'Événement : Les 4 Saisons de Vivaldi, Petite Musique de Nuit de Mozart\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Mardi 7 avril, 20h00']","Le **Concert Aria Baroque** est un concert de musique baroque présentant des œuvres de **Vivaldi, Haendel et Bach**.
Il aura lieu le **samedi 14 mars à 16h00** à l'**Église Sainte-Elisabeth de Hongrie, Paris**.","Le Concert Aria Baroque propose des œuvres de Vivaldi, Haendel et Bach. Il a lieu le samedi 14 mars à 16h00 à l'Église Sainte-Elisabeth de Hongrie à Paris.",1.0,,0.9999999999,1.0
Quand a lieu le Requiem de Mozart et Boléro de Ravel ?,"['Événement : Requiem de Mozart et Boléro de Ravel\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Samedi 11 avril, 20h45', 'Événement : Requiem de Mozart et Boléro de Ravel\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Vendredi 6 mars, 20h45', 'Événement : Requiem de Mozart et Boléro de Ravel\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Vendredi 24 avril, 20h45', 'Événement : Requiem de Mozart et Boléro de Ravel\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Vendredi 20 février, 20h45', 'Événement : Requiem de Mozart et Boléro de Ravel\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Samedi 29 novembre 2025, 08h00']","Voici les dates et lieux du **Requiem de Mozart et Boléro de Ravel** selon les événements disponibles :

- **Vendredi 6 mars 2025** à 20h45 – Église de La Madeleine, Paris
- **Vendredi 20 février 2025** à 20h45 – Église de La Madeleine, Paris
- **Samedi 11 avril 2025** à 20h45 – Église de La Madeleine, Paris
- **Vendredi 24 avril 2025** à 20h45 – Église de La Madeleine, Paris
- **Samedi 29 novembre 2025** à 08h00 – Église de La Madeleine, Paris",Le Requiem de Mozart et Boléro de Ravel a lieu le samedi 11 avril 2025 à 20h45 à l'Église de La Madeleine à Paris.,0.16666666666666666,,0.9999999999,1.0
Qu'est-ce que le concert spirituel à Paris ?,"['Événement : Concert spirituel\nDescription : Tous les dimanches, après la messe de 11h.\nLieu : Basilique Sainte-Clotilde, Paris\nDate : 30 novembre - 21 décembre 2025, les dimanches', 'Événement : Concert Spirituel\nDescription : De la Passion à la Résurrection\nLieu : paroisse Saint-Jean-Baptiste-de-la-Salle, Paris\nDate : Dimanche 29 mars, 16h00', 'Événement : Concert Spirituel Choeur du Haut-Pas sous la direction de Patrice Holiner\nDescription : Haendel, Mozart, Schubert\nLieu : Église Saint-Jacques du Haut-Pas, Paris\nDate : Dimanche 1 février, 15h30', 'Événement : CONCERT SPIRITUEL MEDITATION DE CAREME\nDescription : La Passion selon saint Jean, J.S Bach\nLieu : Église Saint-Augustin, Paris\nDate : Dimanche 6 avril 2025, 15h30', 'Événement : Les 4 Saisons de Vivaldi, Petite Musique de Nuit de Mozart\u200b\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Mercredi 11 mars, 20h00']","Voici les concerts spirituels disponibles à Paris selon le contexte :

1. **Concert spirituel** – Tous les dimanches après la messe de 11h
   **Lieu** : Basilique Sainte-Clotilde
   **Dates** : 30 novembre – 21 décembre 2025 (les dimanches)

2. **Concert Spirituel : De la Passion à la Résurrection**
   **Lieu** : Paroisse Saint-Jean-Baptiste-de-la-Salle
   **Date** : Dimanche 29 mars 2025, 16h00

3. **Concert Spirituel – Chœur du Haut-Pas (Patrice Holiner)**
   **Programme** : Haendel, Mozart, Schubert
   **Lieu** : Église Saint-Jacques du Haut-Pas
   **Date** : Dimanche 1 février 2025, 15h30

4. **Concert Spirituel Méditation de Carême : La Passion selon saint Jean (Bach)**
   **Lieu** : Église Saint-Augustin
   **Date** : Dimanche 6 avril 2025, 15h30

5. **Les 4 Saisons de Vivaldi & Petite Musique de Nuit de Mozart**
   **Lieu** : Église de La Madeleine
   **Date** : Mercredi 11 mars 2025, 20h00","Le Concert spirituel se tient les dimanches après la messe de 11h à la Basilique Sainte-Clotilde à Paris, du 30 novembre au 21 décembre 2025.",1.0,,,1.0
Qu'est-ce que le concert de l'Orchestre de la Bastille ?,"[""Événement : Concert L'Orchestre de la Bastille\nDescription : Direction Émilie Postel-Vinay\nLieu : Eglise Saint Leu Saint Gilles, Paris\nDate : Samedi 5 avril 2025, 20h30"", 'Événement : Grand concert symphonique\nDescription : Orchestre de chambre du Karlsruhe Institute of Technology\nLieu : Église Sainte-Marie des Batignolles, Paris\nDate : Samedi 7 mars, 15h30', 'Événement : Requiem de Mozart et Boléro de Ravel\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Samedi 12 juillet 2025, 20h45', 'Événement : Les Quatre Saisons de Vivaldi (intégrale)\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Vendredi 4 juillet 2025, 20h00', 'Événement : Les Quatre Saisons de Vivaldi (intégrale)\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Samedi 19 juillet 2025, 20h00']","**Concert L'Orchestre de la Bastille**
- **Date** : Samedi 5 avril 2025, 20h30
- **Lieu** : Église Saint Leu Saint Gilles, Paris
- **Description** : Direction Émilie Postel-Vinay",Le Concert de l'Orchestre de la Bastille dirigé par Émilie Postel-Vinay a lieu le samedi 5 avril 2025 à 20h30 à l'Église Saint Leu Saint Gilles à Paris.,1.0,,0.9999999999,1.0
Quels concerts ont lieu en avril à Paris ?,"['Événement : Mardi 01 avril 2025 de 20h à 22h: concert Chœur Sans Frontières\nDescription : Mardi 01 avril 2025 de 20h à 22h: concert Chœur Sans Frontières\nLieu : Église Saint-Marcel, Paris\nDate : Mardi 1 avril 2025, 20h00', 'Événement : Concert La Passion de Jésus-Christ - Dimanche 13 avril à 16h00\nDescription : Concert spirituel\nLieu : Eglise Saint Gervais, Paris\nDate : Dimanche 13 avril 2025, 16h00', ""Événement : Concert de Printemps France Asie\nDescription : Ce programme de musique sacrée et classique réunira voix et instruments autour d'oeuvres de Bach, Mozart, Brahms et autres compositeurs. Venez partager un moment musical, lumineux et spirituel.\nLieu : Église Saint-Jacques du Haut-Pas, Paris\nDate : Dimanche 8 mars, 15h30"", 'Événement : Les quatre saisons de Vivaldi\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Lundi 6 avril, 20h00', 'Événement : Les quatre saisons de Vivaldi\nDescription : Concert à La Madeleine à Paris.\nLieu : Église de La Madeleine, Paris\nDate : Samedi 25 avril, 20h00']","Voici les concerts ayant lieu en avril à Paris selon les événements fournis :

1. **Chœur Sans Frontières**
   - **Date** : Mardi 1 avril 2025, 20h00
   - **Lieu** : Église Saint-Marcel, Paris

2. **La Passion de Jésus-Christ**
   - **Date** : Dimanche 13 avril 2025, 16h00
   - **Lieu** : Église Saint Gervais, Paris

3. **Les quatre saisons de Vivaldi**
   - **Date** : Lundi 6 avril 2025, 20h00
   - **Lieu** : Église de La Madeleine, Paris

4. **Les quatre saisons de Vivaldi**
   - **Date** : Samedi 25 avril 2025, 20h00
   - **Lieu** : Église de La Madeleine, Paris","En avril à Paris, on peut assister notamment aux 4 Saisons de Vivaldi à l'Église de La Madeleine le 7 avril, et au Requiem de Mozart et Boléro de Ravel le 11 avril.",1.0,,0.0,0.0
Quels événements se déroulent en mars à Paris ?,"['Événement : Rencontres\nDescription : Carême\nLieu : Salle Robert Mortier, paroisse Saint-Antoine de Padoue, Paris\nDate : 6 - 27 mars, les vendredis', ""Événement : L'important, c'est le rose !\nDescription : Le dimanche 15 Mars : 4ème dimanche de Carême, dimanche de Laetare. Journée festive pour petits et grands à Saint-Jean-Baptiste-De-La-Salle.\nLieu : paroisse Saint-Jean-Baptiste-de-la-Salle, Paris\nDate : Dimanche 15 mars, 10h30"", ""Événement : Concert de Printemps France Asie\nDescription : Ce programme de musique sacrée et classique réunira voix et instruments autour d'oeuvres de Bach, Mozart, Brahms et autres compositeurs. Venez partager un moment musical, lumineux et spirituel.\nLieu : Église Saint-Jacques du Haut-Pas, Paris\nDate : Dimanche 8 mars, 15h30"", 'Événement : Parcours de carême\nDescription : Théotime\nLieu : Église Saint-François de Sales (ancienne église), Paris\nDate : 11 - 25 mars, les mercredis', 'Événement : Marche de Saint Joseph\nDescription : Marche de Saint Joseph - pour les hommes\nLieu : paroisse Saint-Jean-Baptiste-de-la-Salle, Paris\nDate : Samedi 21 mars, 07h30']","Voici les événements se déroulant en mars à Paris, selon le contexte fourni :

1. **Rencontres** – Du 6 au 27 mars (les vendredis)
   *Lieu* : Salle Robert Mortier, paroisse Saint-Antoine de Padoue

2. **L'important, c'est le rose !** – Dimanche 15 mars à 10h30
   *Lieu* : Paroisse Saint-Jean-Baptiste-de-la-Salle

3. **Concert de Printemps France Asie** – Dimanche 8 mars à 15h30
   *Lieu* : Église Saint-Jacques du Haut-Pas

4. **Parcours de carême** – Du 11 au 25 mars (les mercredis)
   *Lieu* : Église Saint-François de Sales (ancienne église)

5. **Marche de Saint Joseph** – Samedi 21 mars à 07h30
   *Lieu* : Paroisse Saint-Jean-Baptiste-de-la-Salle","En mars à Paris, plusieurs concerts sont prévus dont le Concert Aria Baroque le 14 mars, les 4 Saisons de Vivaldi le 11 mars, et le concert Onestage le 27 mars.",1.0,,0.0,0.0
Que faire ce weekend à Paris ?,"['Événement : 18 - 30 ans Vivre autrement les 3 Jours Saints\nDescription : Toi qui a entre 18 et 30 ans, viens vivre à la paroisse un temps privilégié  pendant la semaine sainte.\nLieu : paroisse Saint-Jean-Baptiste-de-la-Salle, Paris\nDate : 1 - 4 avril', 'Événement : Spectacle “Rien à faire” solo pour un clown\nDescription : Par Fabrice Hadjadj, interprété par Philippe Rousseaux.\nLieu : Crypte de Saint-Pierre du Gros-Caillou, Paris\nDate : Vendredi 28 mars 2025, 20h30', ""Événement : Soirée de partage pour les jeunes pros et étudiants\nDescription : Temps de partage et d'échange autour de crêpes\nLieu : Salle de La Madeleine, Paris\nDate : Samedi 7 février, 19h00"", 'Événement : Ciné-Club\nDescription : Film : Invictus\nLieu : Salle de La Madeleine, Paris\nDate : Samedi 14 février, 19h00', 'Événement : Rencontres\nDescription : Carême\nLieu : Salle Robert Mortier, paroisse Saint-Antoine de Padoue, Paris\nDate : 6 - 27 mars, les vendredis']","Voici les événements disponibles ce weekend à Paris :

- **Soirée de partage pour les jeunes pros et étudiants**
  *Date* : Samedi 7 février, 19h00
  *Lieu* : Salle de La Madeleine, Paris

- **Ciné-Club**
  *Date* : Samedi 14 février, 19h00
  *Lieu* : Salle de La Madeleine, Paris","Ce weekend à Paris, vous pouvez assister à plusieurs événements culturels disponibles dans notre agenda.",0.8,,,0.0
Y a-t-il des événements culturels en juillet 2025 à Paris ?,"[""Événement : Concerts de l'été\nDescription : À Sainte-Marie des Batignolles.\nLieu : Église Sainte-Marie des Batignolles, Paris\nDate : 19 juillet - 15 août 2025"", ""Événement : Déjeuner partagé\nDescription : Tous les dimanches de juillet et jusqu'au 24 août.\nLieu : Église Saint-Pierre du Gros Caillou, Paris\nDate : 6 juillet - 24 août 2025, les dimanches"", 'Événement : Fête de Sainte Marie-Madeleine\nDescription : Programme de la journée\nLieu : Église de La Madeleine, Paris\nDate : Mardi 22 juillet 2025, 12h30', ""Événement : Mardis d’été\nDescription : À l'attention des paroissiens, dans le jardin de la maison paroissiale.\nLieu : Maison paroissiale, Paris\nDate : 8 juillet - 26 août 2025, les mardis"", 'Événement : Déjeuners partagés\nDescription : Venir avec quelque chose à partager pour déjeuner ensemble\nLieu : Saint-Pierre du Gros-Caillou, Paris\nDate : 6 juillet - 31 août 2025, les dimanches']","Voici les événements culturels en juillet 2025 à Paris selon le contexte fourni :

1. **Concerts de l'été**
   - **Date** : 19 juillet - 15 août 2025
   - **Lieu** : Église Sainte-Marie des Batignolles, Paris

2. **Fête de Sainte Marie-Madeleine**
   - **Date** : Mardi 22 juillet 2025, 12h30
   - **Lieu** : Église de La Madeleine, Paris

3. **Mardis d’été**
   - **Date** : 8 juillet - 26 août 2025 (les mardis)
   - **Lieu** : Maison paroissiale, Paris","En juillet 2025 à Paris, on peut assister aux 4 Saisons de Vivaldi et la Petite Musique de Nuit de Mozart le 5 juillet à 20h45.",1.0,,0.0,0.0
